dataname,folder,baseline,etrue,espur,emiss,efals,shd,tpr,time
erdos_renyi/d20_easy,m5_d1.0_n10,GIES,26,19,1,8,28,0.49056603773584906,2.200254201889038
erdos_renyi/d20_intermediate,m5_d1.0_n10,GIES,26,28,10,7,45,0.4262295081967213,2.2683005332946777
erdos_renyi/d20_hard,m5_d1.0_n10,GIES,24,12,19,14,45,0.48,2.405449867248535
erdos_renyi/d40_easy,m5_d1.0_n10,GIES,38,49,19,26,94,0.336283185840708,2.56371808052063
erdos_renyi/d40_intermediate,m5_d1.0_n10,GIES,48,62,16,26,104,0.35294117647058826,2.664724588394165
erdos_renyi/d40_hard,m5_d1.0_n10,GIES,41,50,43,25,118,0.35344827586206895,2.5162312984466557
erdos_renyi/d60_easy,m5_d1.0_n10,GIES,61,81,17,26,124,0.3630952380952381,3.055528163909912
erdos_renyi/d60_intermediate,m5_d1.0_n10,GIES,74,84,33,25,142,0.40437158469945356,3.056419610977173
erdos_renyi/d60_hard,m5_d1.0_n10,GIES,75,52,45,38,135,0.45454545454545453,3.009326696395874
erdos_renyi/d80_easy,m5_d1.0_n10,GIES,95,85,39,28,152,0.4567307692307692,3.712067842483521
erdos_renyi/d80_intermediate,m5_d1.0_n10,GIES,92,86,62,34,182,0.4339622641509434,3.784421443939209
erdos_renyi/d80_hard,m5_d1.0_n10,GIES,106,78,62,41,181,0.4711111111111111,3.738283634185791
erdos_renyi/d20_easy,m5_d1.0_n10,PC,17,1,16,2,19,0.85,83.66150546073914
erdos_renyi/d20_intermediate,m5_d1.0_n10,PC,14,4,23,6,33,0.5833333333333334,401.0988647937775
erdos_renyi/d20_hard,m5_d1.0_n10,PC,14,2,39,4,45,0.7,849.130743265152
erdos_renyi/d40_easy,m5_d1.0_n10,PC,23,5,51,9,65,0.6216216216216216,625.0945029258728
erdos_renyi/d40_intermediate,m5_d1.0_n10,PC,27,0,56,7,63,0.7941176470588235,697.5764336585999
erdos_renyi/d40_hard,m5_d1.0_n10,PC,13,1,91,5,97,0.6842105263157895,2157.029063940048
erdos_renyi/d60_easy,m5_d1.0_n10,PC,44,7,53,7,67,0.7586206896551724,1173.9775652885437
erdos_renyi/d60_intermediate,m5_d1.0_n10,PC,32,2,97,3,102,0.8648648648648649,1097.526974916458
erdos_renyi/d60_hard,m5_d1.0_n10,PC,16,3,138,4,145,0.6956521739130435,1772.0080218315125
erdos_renyi/d80_easy,m5_d1.0_n10,PC,59,2,97,6,105,0.8805970149253731,1670.9142608642578
erdos_renyi/d80_intermediate,m5_d1.0_n10,PC,28,0,152,8,160,0.7777777777777778,2150.378814935684
erdos_renyi/d80_hard,m5_d1.0_n10,PC,33,3,171,5,179,0.8048780487804879,3755.624276161194
erdos_renyi/d100_easy,m5_d1.0_n10,GIES,118,109,36,40,185,0.4419475655430712,4.92822003364563
erdos_renyi/d100_intermediate,m5_d1.0_n10,GIES,117,106,59,49,214,0.43014705882352944,4.705323696136475
erdos_renyi/d100_hard,m5_d1.0_n10,GIES,131,105,100,43,248,0.46953405017921146,4.718060493469238
erdos_renyi/d200_easy,m5_d1.0_n10,GIES,245,217,52,54,323,0.4748062015503876,10.954497814178469
erdos_renyi/d200_intermediate,m5_d1.0_n10,GIES,253,220,100,106,426,0.4369602763385147,12.30852437019348
erdos_renyi/d200_easy,m5_d1.0_n10,GIES,245,217,52,54,323,0.4748062015503876,10.340604782104492
erdos_renyi/d300_easy,m5_d1.0_n10,GIES,346,376,101,112,589,0.4148681055155875,25.665692806243896
erdos_renyi/d300_intermediate,m5_d1.0_n10,GIES,355,369,200,161,730,0.4011299435028249,39.69496273994446
erdos_renyi/d300_hard,m5_d1.0_n10,GIES,421,311,268,133,712,0.4867052023121387,30.20582127571106
erdos_renyi/d400_easy,m5_d1.0_n10,GIES,444,493,125,144,762,0.4107308048103608,64.38406276702881
erdos_renyi/d400_intermediate,m5_d1.0_n10,GIES,516,584,167,172,923,0.4056603773584906,67.32669520378113
erdos_renyi/d400_hard,m5_d1.0_n10,GIES,531,460,346,220,1026,0.4384805945499587,59.260518312454224
erdos_renyi/d500_easy,m5_d1.0_n10,GIES,508,648,162,190,1000,0.3774145616641902,116.79419660568236
erdos_renyi/d500_intermediate,m5_d1.0_n10,GIES,615,677,282,227,1186,0.4048716260697828,104.7796082496643
erdos_renyi/d500_hard,m5_d1.0_n10,GIES,727,683,346,269,1298,0.43299583085169746,148.59272861480713
erdos_renyi/d100_easy,m5_d1.0_n10,PC,48,6,134,12,152,0.7272727272727273,3511.5984060764317
erdos_renyi/d100_intermediate,m5_d1.0_n10,PC,56,0,161,8,169,0.875,3332.2082896232605
erdos_renyi/d100_hard,m5_d1.0_n10,PC,46,3,218,10,231,0.7796610169491526,4229.390540599823
erdos_renyi/d200_easy,m5_d1.0_n10,PC,113,3,212,26,241,0.795774647887324,4569.965941667557
erdos_renyi/d200_hard,m5_d1.0_n10,PC,73,4,467,18,489,0.7684210526315789,9039.6156873703
erdos_renyi/d200_intermediate,m5_d1.0_n10,PC,90,2,340,29,371,0.743801652892562,6174.554482936859
erdos_renyi/d300_easy,m5_d1.0_n10,PC,192,6,331,36,373,0.8205128205128205,9076.356231212616
erdos_renyi/d300_intermediate,m5_d1.0_n10,PC,133,7,551,32,590,0.7732558139534884,17983.038905620575
erdos_renyi/d300_hard,m5_d1.0_n10,PC,103,0,697,22,719,0.824,19000.63883137703
erdos_renyi/d100_easy,m5_d1.0_n10,PC,50,6,132,12,150,0.7352941176470589,2855.9651985168457
erdos_renyi/d100_intermediate,m5_d1.0_n10,PC,58,0,158,9,167,0.8656716417910447,2141.867616176605
erdos_renyi/d100_easy,m5_d1.0_n10,PC,48,6,133,13,152,0.7164179104477612,1966.3500447273252
erdos_renyi/d100_easy,m5_d1.0_n10,PC,51,6,130,13,149,0.7285714285714285,1973.658827543259
erdos_renyi/d100_intermediate,m5_d1.0_n10,PC,62,0,157,6,163,0.9117647058823529,2691.635852098465
erdos_renyi/d100_intermediate,m5_d1.0_n10,PC,60,0,158,7,165,0.8955223880597015,2721.697609901428
erdos_renyi/d100_hard,m5_d1.0_n10,PC,46,1,219,9,229,0.8214285714285714,3897.889090538025
erdos_renyi/d100_hard,m5_d1.0_n10,PC,46,2,220,8,230,0.8214285714285714,3963.4378747940063
erdos_renyi/d200_easy,m5_d1.0_n10,PC,113,4,213,25,242,0.795774647887324,6510.285336017609
erdos_renyi/d200_easy,m5_d1.0_n10,PC,114,5,210,27,242,0.7808219178082192,6555.761277914047
erdos_renyi/d200_hard,m5_d1.0_n10,PC,68,4,470,20,494,0.7391304347826086,13012.688004732132
erdos_renyi/d200_hard,m5_d1.0_n10,PC,71,4,470,17,491,0.7717391304347826,13031.698049068453
erdos_renyi/d200_intermediate,m5_d1.0_n10,PC,83,2,346,30,378,0.7217391304347827,7788.989591598511
erdos_renyi/d200_intermediate,m5_d1.0_n10,PC,84,2,340,35,377,0.6942148760330579,7822.238089561462
erdos_renyi/d200_hard,m5_d1.0_n10,GIES,286,171,176,96,443,0.5171790235081374,15.72465705871582
erdos_renyi/d300_easy,m5_d1.0_n10,PC,189,3,333,37,,,11935.944633722305
erdos_renyi/d300_easy,m5_d1.0_n10,PC,185,3,333,41,,,12583.528829574585
erdos_renyi/d300_intermediate,m5_d1.0_n10,PC,140,7,544,32,583,0.78,17503.461554288864
erdos_renyi/d300_intermediate,m5_d1.0_n10,PC,134,7,550,32,589,0.77,17027.069462537766
erdos_renyi/d300_hard,m5_d1.0_n10,PC,101,0,696,25,721,0.8,13375.804433822632
erdos_renyi/d400_easy,m5_d1.0_n10,PC,260,3,404,49,456,0.83,11815.072212934494
erdos_renyi/d400_intermediate,m5_d1.0_n10,PC,225,4,588,42,634,0.83,17278.19237422943
erdos_renyi/d400_hard,m5_d1.0_n10,PC,141,5,933,23,961,0.83,23705.011340141296
erdos_renyi/d500_easy,m5_d1.0_n10,PC,371,4,436,53,493,0.87,18832.538441181183
erdos_renyi/d500_intermediate,m5_d1.0_n10,PC,286,4,798,40,842,0.87,30440.14772439003
erdos_renyi/d500_hard,m5_d1.0_n10,PC,187,5,1115,40,1160,0.81,51900.735307216644
